epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1585,1.53643,2.53846,1.54919,0.64128,0.29229,0.29357,0.19102,1.23527,1.4035,1.2778,0.000130233,0.000130233,0.000130233
2,23.9531,1.24497,1.24802,1.30128,0.57099,0.45687,0.42392,0.27894,1.26855,1.33955,1.37547,0.000258347,0.000258347,0.000258347
3,36.1339,1.22661,1.09746,1.28477,0.64582,0.42964,0.44952,0.28514,1.25706,1.27025,1.42834,0.000381182,0.000381182,0.000381182
4,47.8312,1.15959,0.96704,1.23785,0.59114,0.53121,0.4993,0.34338,1.18363,0.95562,1.37676,0.00037624,0.00037624,0.00037624
5,59.4829,1.14383,0.88196,1.24053,0.70794,0.53368,0.61446,0.4486,1.17997,0.84855,1.34635,0.00036832,0.00036832,0.00036832
6,71.1508,1.11654,0.86066,1.21808,0.70251,0.54124,0.59121,0.40137,1.14073,0.89358,1.31281,0.0003604,0.0003604,0.0003604
7,82.4914,1.10425,0.80912,1.20962,0.6675,0.61922,0.67084,0.47826,1.13805,0.78138,1.31475,0.00035248,0.00035248,0.00035248
8,94.1447,1.07988,0.76947,1.18637,0.59075,0.67172,0.62395,0.44965,1.11311,0.76402,1.29865,0.00034456,0.00034456,0.00034456
9,105.533,1.07479,0.74183,1.17982,0.70899,0.57236,0.64547,0.46101,1.10468,0.79938,1.26311,0.00033664,0.00033664,0.00033664
10,116.871,1.04653,0.70304,1.16553,0.59144,0.7216,0.68149,0.49935,1.09594,0.73181,1.26583,0.00032872,0.00032872,0.00032872
11,128.586,1.0202,0.68315,1.14925,0.66694,0.65497,0.69797,0.50866,1.07774,0.71134,1.26425,0.0003208,0.0003208,0.0003208
12,140.202,1.02964,0.6845,1.15513,0.69017,0.65984,0.7084,0.51071,1.11007,0.71271,1.29066,0.00031288,0.00031288,0.00031288
13,151.782,1.02752,0.6846,1.15664,0.67935,0.63759,0.73724,0.53019,1.08775,0.69064,1.25393,0.00030496,0.00030496,0.00030496
14,163.378,1.00216,0.66032,1.146,0.53955,0.77653,0.69572,0.51271,1.08441,0.67719,1.26784,0.00029704,0.00029704,0.00029704
15,174.73,0.97757,0.6383,1.13196,0.66235,0.76217,0.76416,0.55592,1.06328,0.6502,1.25781,0.00028912,0.00028912,0.00028912
16,186.47,0.96584,0.61738,1.1243,0.66081,0.81778,0.80191,0.5951,1.05785,0.63292,1.24246,0.0002812,0.0002812,0.0002812
17,198.291,0.96573,0.59806,1.12727,0.76052,0.73523,0.80577,0.59287,1.04229,0.61981,1.24698,0.00027328,0.00027328,0.00027328
18,209.677,0.96948,0.59271,1.11453,0.76585,0.70289,0.80671,0.59484,1.03609,0.63525,1.21396,0.00026536,0.00026536,0.00026536
19,221.255,0.96619,0.58549,1.11592,0.83,0.70857,0.79422,0.60813,1.01373,0.58586,1.21537,0.00025744,0.00025744,0.00025744
20,232.852,0.94683,0.56468,1.09855,0.66349,0.84693,0.81754,0.61639,1.0276,0.58158,1.22862,0.00024952,0.00024952,0.00024952
21,244.447,0.94083,0.56783,1.1103,0.71067,0.75393,0.79437,0.58863,1.04317,0.58767,1.21781,0.0002416,0.0002416,0.0002416
22,255.783,0.9236,0.55375,1.09744,0.82094,0.72571,0.80968,0.60451,1.01853,0.57502,1.2234,0.00023368,0.00023368,0.00023368
23,267.191,0.92708,0.54812,1.09965,0.67909,0.87088,0.86266,0.64217,1.03854,0.57464,1.25179,0.00022576,0.00022576,0.00022576
24,278.82,0.91577,0.53532,1.09947,0.80429,0.75934,0.83025,0.64085,1.02042,0.56009,1.2217,0.00021784,0.00021784,0.00021784
25,290.281,0.90131,0.52535,1.08852,0.72887,0.8214,0.8557,0.64547,1.00447,0.58369,1.21144,0.00020992,0.00020992,0.00020992
