epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.69805,1.9875,4.02618,2.00071,0.70027,0.13474,0.1145,0.06653,1.57678,2.51947,1.8006,7.4e-05,7.4e-05,7.4e-05
2,253.976,1.45625,2.04293,1.52577,0.49446,0.28318,0.21745,0.14408,1.45985,2.0605,1.70226,0.000148696,0.000148696,0.000148696
3,261.095,1.36018,1.58888,1.41736,0.52719,0.31611,0.30575,0.19749,1.43333,12.0897,1.69384,0.000220316,0.000220316,0.000220316
4,268.053,1.33628,1.45341,1.40214,0.46148,0.56348,0.45938,0.32135,1.37796,1.78291,1.63489,0.000288858,0.000288858,0.000288858
5,274.965,1.28251,1.23301,1.36407,0.58498,0.42849,0.42497,0.28422,1.35325,1.47789,1.62049,0.000340696,0.000340696,0.000340696
6,281.333,1.28511,1.20565,1.35924,0.44861,0.58849,0.45441,0.30463,1.32374,1.35082,1.59225,0.00033337,0.00033337,0.00033337
7,287.642,1.25646,1.12545,1.34577,0.63561,0.39796,0.47035,0.31399,1.32634,1.15789,1.54602,0.000326044,0.000326044,0.000326044
8,294.033,1.24059,1.07001,1.335,0.61208,0.511,0.56518,0.40433,1.26555,1.10745,1.53078,0.000318718,0.000318718,0.000318718
9,300.706,1.21478,1.0553,1.31869,0.64861,0.48936,0.51973,0.37167,1.25367,1.04635,1.47442,0.000311392,0.000311392,0.000311392
10,307.183,1.2153,0.99349,1.3113,0.45793,0.56272,0.50751,0.35883,1.27822,1.0503,1.49384,0.000304066,0.000304066,0.000304066
11,313.572,1.15728,0.94532,1.28163,0.53831,0.63151,0.61004,0.44628,1.21782,0.97574,1.45514,0.00029674,0.00029674,0.00029674
12,320.201,1.1301,0.84673,1.25523,0.75713,0.49711,0.6358,0.47555,1.18403,0.99233,1.41959,0.000289414,0.000289414,0.000289414
13,326.91,1.13444,0.88684,1.24794,0.57282,0.62796,0.60961,0.44603,1.23327,0.96098,1.467,0.000282088,0.000282088,0.000282088
14,333.262,1.12207,0.84851,1.24028,0.51567,0.66105,0.6033,0.42861,1.23581,1.02252,1.49481,0.000274762,0.000274762,0.000274762
15,339.598,1.13059,0.83775,1.2347,0.54488,0.66323,0.65479,0.4588,1.24098,0.94574,1.47542,0.000267436,0.000267436,0.000267436
16,346.023,1.10816,0.79805,1.24686,0.61755,0.67542,0.67758,0.49587,1.11977,0.86587,1.38607,0.00026011,0.00026011,0.00026011
17,352.768,1.07448,0.79581,1.22145,0.55578,0.74516,0.65833,0.47421,1.13024,0.86741,1.38624,0.000252784,0.000252784,0.000252784
18,359.19,1.06542,0.793,1.21054,0.61638,0.77371,0.77892,0.56981,1.15925,0.81227,1.41373,0.000245458,0.000245458,0.000245458
19,365.856,1.06989,0.76075,1.21399,0.78053,0.65276,0.73598,0.5429,1.15335,0.81981,1.38828,0.000238132,0.000238132,0.000238132
20,372.365,1.03542,0.73333,1.20346,0.55959,0.71154,0.67365,0.48643,1.16224,0.85272,1.41857,0.000230806,0.000230806,0.000230806
21,378.769,0.99817,0.71051,1.19266,0.62625,0.65142,0.66494,0.48634,1.11279,0.82066,1.38634,0.00022348,0.00022348,0.00022348
22,385.076,0.99809,0.71261,1.19727,0.5954,0.72581,0.77738,0.56444,1.10323,0.80777,1.38046,0.000216154,0.000216154,0.000216154
23,391.468,1.01168,0.69668,1.19918,0.58527,0.68739,0.71858,0.51818,1.15328,0.80138,1.41584,0.000208828,0.000208828,0.000208828
24,397.93,0.98061,0.66092,1.17027,0.6785,0.63169,0.70396,0.50814,1.16001,0.78034,1.42948,0.000201502,0.000201502,0.000201502
