epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1570.24,0.83473,0.42524,1.11311,0.83443,0.87042,0.9006,0.64458,1.07352,0.55595,1.286,5.616e-05,5.616e-05,5.616e-05
42,1608.42,0.81828,0.41111,1.10179,0.83134,0.84909,0.88903,0.63642,1.06971,0.55393,1.28529,5.0814e-05,5.0814e-05,5.0814e-05
43,1646.88,0.80458,0.40133,1.10136,0.82259,0.87441,0.89388,0.6378,1.06833,0.54647,1.29126,4.5468e-05,4.5468e-05,4.5468e-05
44,1684.7,0.79237,0.39507,1.08598,0.86074,0.86573,0.91166,0.65515,1.05902,0.54568,1.28336,4.0122e-05,4.0122e-05,4.0122e-05
45,1722.96,0.77628,0.3848,1.06948,0.84245,0.88125,0.91484,0.65989,1.05482,0.54285,1.269,3.4776e-05,3.4776e-05,3.4776e-05
46,1761.52,0.76393,0.37994,1.06246,0.83092,0.8677,0.90127,0.65114,1.04826,0.5342,1.27587,2.943e-05,2.943e-05,2.943e-05
47,1799.48,0.75647,0.37394,1.06039,0.84651,0.86463,0.9076,0.6567,1.04833,0.53478,1.27718,2.4084e-05,2.4084e-05,2.4084e-05
48,1837.1,0.74543,0.37202,1.05408,0.8413,0.88737,0.91415,0.66403,1.04752,0.53104,1.278,1.8738e-05,1.8738e-05,1.8738e-05
49,1876.09,0.7343,0.36431,1.04563,0.85485,0.87874,0.91462,0.66563,1.04576,0.52888,1.27876,1.3392e-05,1.3392e-05,1.3392e-05
50,1914.43,0.72656,0.36444,1.04409,0.8575,0.87643,0.91597,0.66652,1.03909,0.5276,1.27562,8.046e-06,8.046e-06,8.046e-06
