epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1362,0.8534,0.45189,1.13964,0.82183,0.82717,0.88012,0.61308,1.10543,0.59391,1.32916,5.616e-05,5.616e-05,5.616e-05
42,1391.51,0.83196,0.43676,1.13223,0.82804,0.83421,0.88678,0.62154,1.09894,0.59369,1.32309,5.0814e-05,5.0814e-05,5.0814e-05
43,1420.67,0.82057,0.42688,1.12712,0.84129,0.84746,0.90023,0.63189,1.09613,0.58007,1.32706,4.5468e-05,4.5468e-05,4.5468e-05
44,1449.98,0.80551,0.41269,1.11259,0.85716,0.85605,0.90324,0.63875,1.10405,0.58958,1.32933,4.0122e-05,4.0122e-05,4.0122e-05
45,1479.38,0.78675,0.40459,1.09615,0.85174,0.85689,0.90147,0.63641,1.09958,0.58226,1.33061,3.4776e-05,3.4776e-05,3.4776e-05
46,1508.4,0.77449,0.39434,1.08975,0.85182,0.84081,0.9015,0.63792,1.09426,0.56927,1.3294,2.943e-05,2.943e-05,2.943e-05
47,1537.5,0.7689,0.39164,1.08016,0.85436,0.85601,0.90524,0.64012,1.09217,0.56061,1.32808,2.4084e-05,2.4084e-05,2.4084e-05
48,1566.92,0.74991,0.38134,1.0733,0.84919,0.85419,0.90599,0.64231,1.0926,0.56897,1.32647,1.8738e-05,1.8738e-05,1.8738e-05
49,1596.16,0.7399,0.37551,1.06356,0.85659,0.86015,0.90984,0.6455,1.0872,0.56979,1.32574,1.3392e-05,1.3392e-05,1.3392e-05
50,1625.26,0.73699,0.37422,1.06487,0.84872,0.87345,0.90951,0.64414,1.0842,0.56567,1.32354,8.046e-06,8.046e-06,8.046e-06
